title,company,location,category,jobtype,salary,jd,avgsalary,mainloc,mainlocation
Procurement (Telco)(KL),Elabram Systems Sdn Bhd,KUALA LUMPUR,Telecommunications (Information & Communication Technology),Contract/Temp,3400-5000,"Job Description :In charge of the subcontractor management, including but not limit to looking for new subcontractor, negotiate with subcontractor, arrange meeting with subcontractor, and so on.Help project team deal with the problem/matter of subcontractor, make sure the project be finished in time.Report work content regularly and complete other works assigned by superiors.Help subcontractor to push the PO and payment status，or other problems. Requirement :Procurement experience.Negotiation ability.High motivation.Preferably Mandarin speaker as need to deal with some documentations. Experience in telecommunications industry is an added advantage. ",4200,KUALA LUMPUR,KUALA LUMPUR
Infra & System Engineer (IT),Charoen Pokphand Group Malaysia,"SETAPAK, KUALA LUMPUR",Networks & Systems Administration (Information & Communication Technology),Full time,3100-4500,"Job DescriptionIncident troubleshooting & service request related with network, system, security, software and hardwareServer management & maintenance : Windows, Oracle, Linux, Debian, Centos, VMwareSystem Administrator : Active directory, GPO, Office 365Storage & backup systems ; HPE Nimbles Storageonce, VeeamSystem monitoring and troubleshooting : Solarwinds, veeam One, Splunk, CrowdstrikeSecurity and compliance :ISO27001 information security system & ISO20000 information technology service managementDocumentation and reportingRequirements :- Bachelor Degree in Computer Science, Information Technology, Engineering or equivalent- At least 1-3 years working experiences- Proven working experience in installing, configuring and troubleshooting WINDOWS, UNIX and Linux based environments.- Experience with virtualisation and containerisation (VMware)- Knowledge in networking and Active Directory- Excellent interpersonal and communication skills (both written and oral)- Knowledge and experience in Oracle,ISO27001:2013, ISO20000 and ITIL will be an advantage- Based in Setapak KL, Setia Alam",3800,KUALA LUMPUR,KUALA LUMPUR
Graduate Software Engineer / Developer,FootfallCam,KUALA LUMPUR,Engineering - Software (Information & Communication Technology),Full time,3500-5200,"If you are fresh graduate, this role is for you to get the fundamental right, you will be put under guidance of senior engineer for 3 to 6 months, day to day operation, handling customer requirement, projects delivery, testing of software, familiarize with environment, tools, and you will be assign to ONE of the following path after the said period:- Application DevelopmentYou will learn and exposed to: HTML, CSS, Javascript, jQuery Angular, React, Android, iOS, RESTful API, Unity3D, C# Involved in creation of web apps, mobile apps, desktop apps and many more.Involved in creation of metrics, data enrichment, widgets and many more.Crafting dashboards, reports, configuration pages to ease users both internal and external to navigate throughout the system. DevOps EngineerYou will learn and exposed to: GitLab, Jenkin, Docker, Kubernetes, Grafana, Prometheus, Site Reliability, CI/CDInvolved in running, optimizing DevOps, and bringing the team into automation.Involved in setting, maintaining and deploying required tools that enable DevOps.Involved in bringing down developer time in deploying updates. System Analyst / Big Data / Data AnalystYou will learn and exposed to: Data analytic, Data Science, Superset, Tableau, Requirement GatheringInvolved in data analytic, fiddling around with data and making sense of it.Involved in identifying key metrics that allow creating business decision making for customers. AI and IoTYou will learn and exposed to: Embedded firmware (Texas Instrument, ST Micro), CNN, RNN, CUDA, MLFlow, OpenPAI, C/C++, PythonInvolved in embedded firmware development, integrating with sensors, and putting in algorithms.Involved in AI model training, data labelling, classification, fine tuning ML Ops. Sales EngineerYou will learn and exposed to: Presentation, Solution Consulting, Requirement Gathering, Communication, PlanningInvolved in preparing and developing technical presentations to propose our company's products or services as a solution to customers' problems.Involved in creating and delivering powerful presentations, demos that are able to clearly communicate the uniqueness of the value proposition in a simple manner.Involved in effectively communicating client needs with internal R&D teams for future product and service enhancements.  Prefer graduates from Computer Science, Software Engineering, Information System, Electronic and Electrical, Mechatronic, Information Technology and related courses. Possible career opportunities after completed 2 years of training: Back End Developer, Front End Developer, Web Developer, Mobile App Developer, .NET Developer, Full Stack Developer, Image Processing Specialist, Data Scientist, Support Engineer, System Analyst, IoT, Database Administrator, Data Engineer, Software Developer, DevOps Engineer, Embedded Software Engineer Data Analyst ,Big Data, Computer Science ,IT ,AI ,System Analyst ,Business Analyst ,Information Technology ,Programming ,Programmer ,C# ,Data Science ,Fresh Graduate ,Database Administrator ,DBA ,Software Engineer, Software Developer ,IoT ,Cloud Computing ,Web Development ,Frontend ,HTML ,Java ,Python ,Full Stack ,Image Processing ,Artificial Intelligence ,Intelligent System ,Networking ,Application ,Firmware ,Embedded, Power BI",4350,KUALA LUMPUR,KUALA LUMPUR
Front-End Developer,EWS Software Sdn Bhd,KUALA LUMPUR,Developers/Programmers (Information & Communication Technology),Full time,6000-9000,"With this position, you will be required to...(Job Description): 1. Develop new user-facing features for both mobile app and WEB app;2. Ensure the technical feasibility of UI/UX designs;3. Maintenance existing WEB applications ;4. Collaborate with other team members and remote software teams; If you meet the following criteria, hurry up and click ""APPLY""!:(Requirements) 1. 1+ years of experience as a Frontend Developer;2. Familiarity with GIT for code versioning;3. Proficient understanding of web markup, including HTML5, CSS3;4. Proficient understandings of CSS preprocessors such as SASS or SCSS;5. Experienced with any of the following framework: ReactJS, VueJS;6. Work closely with UI/UX designers on the user interface and user experience using Figma/Zeplin and PSD;7. Proficient with cross browser compatibility and how to deal with them;8. Highly motivated and self-directed;9. Candidates fluent in Mandarin preferred as role requires candidate to deal with Mandarin speaking clients. ...And if you have these, EVEN BETTER! 1. Understanding of NodeJs;2. Understanding of Jenkins;3. Experienced in SEO solutions; Why Join Us? We offer above-market competitive & attractive remuneration package as well as several annual benefits.Strategic work location - Easy & hassle-free access to public transportation (LRT/Bus) as well as to numerous restaurants and eateries.Public holiday incentives.Endless opportunities for career growth and advancement within the organization.Work with young and vibrant team!Fast-paced environment, and we promote high-performance work culture.We prioritize and encourage work-life balance for our employees.Whether you are fresh out of college or an experienced professional, WE WANT YOU!",7500,KUALA LUMPUR,KUALA LUMPUR
Business Analyst,EPIC UNICORN SDN. BHD.,"BANGSAR SOUTH, KUALA LUMPUR",Business/Systems Analysts (Information & Communication Technology),Full time,4000-5600,"Evaluate business processes, anticipate requirements, uncover areas for improvement, and develop and implement solutions.Gather requirements from client and coordinate with developer teamAssess current state, identify customer requirements, and define the future state and/or business solutionDevelop Testing Scenarios and execute testing on the solutionFacilitate discussion to gather confirmation on requirements/ use cases/scenariosStay up-to-date on the latest process and IT advancements to automate and modernize systems.Effectively communicate your insights and plans to cross-functional team members and management.Gather critical information from meetings with various stakeholders and produce useful reports.Ensure solutions meet business needs and requirements.Manage projects, develop project plans, and monitor performance.Update, implement, and maintain procedures.Prioritize initiatives based on business needs and requirements.Serve as a liaison between stakeholders and users.Manage competing resources and priorities.Monitor deliverables and ensure timely completion of projectFull time position based in KL (Bangsar South)Job RequirementsCandidate must possess at least a Bachelor’s Degree in Computer Science or related2- 3 years of working experience in the related fieldKnowledge with version control system Strong analytical, problem-solving and process, solution-oriented abilitiesExperience in creating a detailed business analysis, outlining problems, opportunities, and solutions for a business system implementationHave the ability to define business requirements and creating documentationStrategic thinker with a positive attitude, proactive and able to work under pressure in a fast-paced environmentWork well as a Team Player if (you=EPIC && you=wish_to_impact_the_world){   we=want_to_empower_you}",4800,KUALA LUMPUR,KUALA LUMPUR
Junior Web Developer,ITEA TECHNOLOGY (M) SDN. BHD.,"JOHOR BAHRU, JOHOR",Developers/Programmers (Information & Communication Technology),Full time,,"Job Responsibilities:Junior level programming skill is okay, we will provide training before onboard on the position.Experience in using any PHP MVC framework such as Codeigniter / Laravel (either one)Experience in API development and integration with third-party APIs.Analyze, design, program, test, document, and maintain IT systems or applicationsProvide maintenance support to customers (internal and/or external) by investigating and rectifying reported systems shortcomingsPerform and manage stages of the SDLC and involvement in systems review with Project ManagerUnderstand the interdependencies of the services (application, system, network, and database) and the ability to identify the problem accurately to improve overall efficiencyCollaborate with other team members and stakeholdersYour career experience to date will have given you a good range of skills in the following Development areas:Front-end languages such as HTML, CSS, JavaScript, jQuery, AngularJS, AngularServer-side languages such as PHP (CodeIgniter/Laravel either one), Python or related frameworksDatabase technology such as MySQLMobile App Development (Android & iOS, IonicFramework)Cloud control (Linode, AWS etc)Job Requirements:Sharp analytical abilities, problem-solving techniques, proven design skills and track record of deliveryCapable of dealing with rapid schedules and constantly evolving business environmentProactive, motivated and team player. Able to work both independently as well as with a team, and keen to learn about new technologies and new scopeTake pride in accountability, ownership of outstanding issues, and establishes a high level of credibility with others in the organisationPlus Points:Familiar with cross-platform integration and software as a service system design.Some project leading experience in IT.Experience in SEO knowledge.How will this career benefit you?A conducive environment to work and grow.Constant challenges and opportunities to prove yourself.Candidates with enthusiasm for learning new skills and technologies are encouraged to apply.Benefits:3 Days Meals IncludedCompany UniformAnnual Company Trip ",0,JOHOR,JOHOR
05-095-Senior Executive & Assistant Manager  Monitoring & Testing,AmBank Group,KUALA LUMPUR,Management (Information & Communication Technology),Full time,,"Job Responsibilities:Assist in the development of the annual Compliance PlanAssist in developing risk based review approach and testing program for each line of businessPerform adherence review & testing review in accordance to methodology in a timely mannerPrepare quality work papers, reports and presentation materialsAssist in providing periodic updates to Senior Management on findingsAssist in enhancing the Compliance Review Methodology, Review Program and Templates as and when requiredIdentify and participate in required training, and complete assigned e-learning timely.Identify and enroll for further academic/ professional accreditationParticipate in social activities for staff engagementOther tasks as assigned by supervisor from time to timeJob Requirements:Worked for minimum of 1-3 years in compliance, banking operations, audit, risk, controls, AML, QA or relevant roleExperience in performing audits/reviewsExperience in working in a project environment and assisting in preparing presentation of reports to senior managementGood inter personal skills and experience in working with teamsExperience in reviewing, assessing, developing and documenting internal processes, controls and templates",0,KUALA LUMPUR,KUALA LUMPUR
Lead Support Analyst-GRM Operational Risk,Michael Page International (Malaysia) Sdn Bhd,PUTRAJAYA,Help Desk & IT Support (Information & Communication Technology),Full time,96000-120000,"You will be responsible for routinely monitoring and ensuring continuity of reporting and acting as the first point of contact when application users have inquiries or encounter issues. Support Analysts receive tickets and analyze screenshots and details of customer issues, to replicate the problem while working across the team to drive issues to completion.Client DetailsA multinational financial services company and the largest bank in Canada by market capitalization. The bank serves over 20 million clients and has more than 100,000 employees worldwideDescriptionResponsibilities· Answer client queries and provide basic direction and training on common issues, including user access management· Perform Level 1 & Level 2 support· Perform root cause analysis, including duplication of the issue, in order to define the problem, and then share the document with members of the team· Performs monitoring activities, including confirmation of scheduled reporting jobs and dashboard updates· Logging and timely resolution of incidents with the production application· Produce daily report highlighting status of the applications across several dimensions· Triage product queues and prioritize issues according to their severity· Provide feedback to supervisors and managers regarding processes that are unclear and need to be changed· Promoting changes into the production environment· Participate in project and team meetings; interacting and collaborating with team members· Relay feedback to Product Managers so that the product can be improved Requirements· Excellent communication skills, both written & verbal· Customer service mindset· Experience routinely working with and switching between multiple technology systems· Experience working with Excel to manipulate data· Extremely detail oriented with the ability to manage and prioritize work· Previous technical support experience or customer service experience· Knowledge of SQL· Experience with scheduling tools, such as Airflow· Experience with reporting tools, such as Tableau· Team-player, strong work ethic and a positive attitude· Able to operate in a fast-paced environmentProfile · Bachelors Degree, preferably in any quantitative science (Mathematics, Computer Science, Engineering · Experience routinely working with and switching between multiple technology systems · Experience working with Excel to manipulate data · Previous technical support experience or customer service experience · Experience with scheduling tools, such as Airflow · Experience with reporting tools, such as Tableau · Experience working with Windows OS, preferably also Unix OS · Experience working with Jira and Confluenc· Excellent communication skills, both written & verbal · Knowledge of SQL · Knowledge of AgileJob OfferAdditional Transport AllowanceTo apply online please click the 'Apply' button below. For a confidential discussion about this role please contact Isaac Culason +60 3 2302 4099.",9000,PUTRAJAYA,PUTRAJAYA
"Global Service Desk Expert (24x7, shift rotation)",GfK Retail and Technology Malaysia Sdn.Bhd,KUALA LUMPUR,Help Desk & IT Support (Information & Communication Technology),Full time,,"Job DescriptionAs a Global Service Desk Expert, you will….Handle and provide first line assistance on all incoming enquiries and requests on GfK internal application i.e. StarTrack & gfknewron. This includes a variety of channels, including helpdesk, phone and emailSupport calls and resolve queries within the SLA's defined and as assigned by the managers and/or team leadProvide high quality customer services with the objective of being a contributor to customer loyalty and highest possible customer satisfaction.Provide consultancy to clients to resolve technical support issues proactivelyBe the first point of contact for internal users via helpdesk, phone, email and MS Teams for support related global services and solutionsResolve operational services within defined schedules and service level agreementsAble to communicate and ascertain client requirementsAdhere to Service Level Agreements/KPI’s definedEscalate unresolved calls to the level 2 support team.Follow Standard Operating Procedures (SOP) while engaging in support work related tasks.Able to learn and pick up processes and systems functionalities Job RequirementsYou should…Able to understand and comply with ITIL, methods, standards, guidelines, tools, techniques and proceduresAble to communicate well in English both verbal and written.Have pleasant personality and good interpersonal skills.Have basic knowledge in MS Office, SQLHave interest in software application Expert in Customer Service skillsWilling to work in a 24x7, shift rotation job environmentFresh graduate are encouraged to apply. BenefitsFlexible/hybrid working environmentAttractive allowances (eg. Shift allowance, Standby allowance, etc.)Opportunity to convert into Permanent positionFriendly, supportive, and inclusive working cultureFree flow of snacks and coffeeHave a break by playing Nintendo switchAnd many more.…",0,KUALA LUMPUR,KUALA LUMPUR
Senior IT Executive,Ouji Seiyaku (M) Sdn. Bhd.,KUALA LUMPUR,Management (Information & Communication Technology),Full time,,"Company Background:OUJI SEIYAKU (M) SDN. BHD. proudly stands as a vital part of the Whealth Lohmann Group, a multinational force in the fast-moving consumer goods (FMCG) industry, with a global footprint encompassing Europe, Southeast Asia, and Oceania, with a presence in countries such as Germany, Singapore, Malaysia, Taiwan, Indonesia, Thailand, Vietnam, Australia, Japan, Korea, and Dubai.Our unwavering commitment revolves around providing consumers with an extensive array of premium-quality products that cover a broad spectrum of categories, including household care, personal care, and hygiene care. Within the market, our esteemed portfolio boasts a collection of highly regarded brands, including but not limited to Walch, Dynamo, Fab, arFUM, KA, and fresh HY.The Senior IT Executive role responsible in overseeing the strategic direction and management of the technology-related operations. This person will be developing and implementing IT strategies aligned with business objectives, managing IT budgets and resources, evaluating new technologies for potential adoption, ensuring the security and integrity of IT systems and data. The ideal candidate will be someone who are technology driven, efficient, and digital transformation.Key responsibilities:Responsible daily system, servers & network operations, and administration task activity.Controlling of physical access to IT Network.Prepare laptops and essential IT tools for new onboarding staff, ensuring a smooth integration into the organization's digital environment. Maintaining network performance by performing network monitoring and analysis, and performance tuning; troubleshooting network issues; designing and running system load/stress testing; escalating network problems to vendors and service providers.Upgrading systems and networks by conferring with vendors and service providers; developing; testing, evaluating, and installing enhancements and new software including patches and upgrades on a regular basis.Reviewing system and application logs.Secures network by developing network access, monitoring, control, and evaluation; maintaining documentation; establishing and testing disaster recovery policies and procedures.Contributing to, defining, and maintaining system standards, operational policies and procedures.To perform and abide the task given by Superior to achieve section mission and objective.To perform all other tasks as assigned.Requirements:Professional Diploma or bachelor’s degree in computer science, Information Technology, or a related field.Proven experience in IT management and administration, preferably in a corporate environment.Strong hands on technical skills in hardware, software, networks, and security.Excellent problem-solving, troubleshooting skills, communication, and interpersonal skills.Strong communication and interpersonal skills with pleasant personality working in a team or independently.Proficient in English, Bahasa Malaysia and Mandarin.Join us on our ambitious journey of expansion across the dynamic Asia-Pacific (APAC) region and beyond. Your expertise will be pivotal in driving our ongoing growth and success. We welcome dedicated professionals eager to make a meaningful impact on our exciting future.",0,KUALA LUMPUR,KUALA LUMPUR
Python Engineer,Links international,KUALA LUMPUR,Engineering - Software (Information & Communication Technology),Full time,,"Overview:  An award-winning, industry-leading, innovative & technology-driven HR outsourcing and recruitment agency based in Asia Pacific, Links International is actively seeking full stack developers with solid Python/JavaScript, T-SQL, APIs and integration platforms (preferably iPaaS) experience to join our expanding team. The successful candidate, based in Hong Kong, will have solid experience developing & implementing RPA, HCM/HRIS/HRMS and payroll systems, and will play a vital role in designing and building software applications and onboarding & supporting clients across the region.    Responsibilities: Conceptualize, design, implement and grow a portfolio of software applications & products that underpin our key business linesAssist in making intelligent choices of tools and technologies to include in our stackLend your experience to continuously improving our processes and methodologiesCollaborate with some of the brightest HR, recruitment and HR technology specialists in the field to create an environment where we can do business today the way our competitors will want to do business tomorrowEngage with clients/stakeholders in a helpful and charming manner  Requirements: Minimum 3 - 4 years of software development experience using PythonGood at database design, optimization and tuning in MySQLExperience in APIs developmentExposure to Google Cloud / AWS / Azure development ecosystems is a plusGood hand in Git/Bitbucket - Source ControlStrong understanding of Object-Oriented ProgrammingEager to learn new skills and take pleasure in sharing knowledge and experience within the teamGood verbal communication and written in EnglishSelf-motivated, fast learner, detail-oriented, team player and a sense of humorKnowledge on HRM/HRIS/HRMS or payroll software would be a distinct advantage",0,KUALA LUMPUR,KUALA LUMPUR
"Senior Engineer, IT Security",Avaland Berhad,"SUBANG JAYA, SELANGOR",Security (Information & Communication Technology),Full time,4800-7200,"JOB PURPOSE Assist in I.T & cybersecurity project plan, design & execution, network security & server monitoring; ensure the level of security is in line with the security and organizational risk management policies. KEY ACCOUNTABILITIES Identify, assess, monitor, and manage IT security threats that may impact business operations. Assist in Setup/configure and troubleshoot to improve in performance and provide high reliability in network security & infrastructure services for business operations. Provide support and diagnose potential security incidents and subsequent reviews remediation. Detect and identify inconsistencies or pattern that could indicate complex cyber-attack. Align security architecture, plans, controls, processes, policies, and procedures in accordance with the Company and its subsidiaries’ security standards and operational goals. Develop and update the IT governance structure, policies and procedures as well as communicate and enforce them to end users. Able to read and understand system and network traffic data including security event logs, system logs, application logs, etc. Able to take up additional role as a System Administrator to operate, maintain and support the IT Infrastructure across the company and its subsidiaries (Group). QUALIFICATIONS AND EDUCATION REQUIREMENTS Diploma / Degree in Information Security or equivalent. Minimum of 3 years relevant working experience in focusing on IT Security, IT Risk, and Governance. Prefer candidates with any professional certification on Network Security and Cyber Security. Knowledge in Malware Analysis, Security Incident Response, Advanced Threat Protection, SIEM, Next Generation Firewalls, Web Application Firewall (WAF), Privileged Access Management (PAM), Proxy Secure Gateway, LAN & Core Switches, patch management, backup and disaster recovery. Good interpersonal and user handling skills with the ability to manage expectations and communicate technical detail. Analytical and problem-solving skills to identify and assess risks, threats, patterns, and trends. Ability to learn quickly and contribute to team effort. ",6000,SELANGOR,SELANGOR
"Assistant Manager, Governance & Compliance",AIA IT (M) Sdn Bhd,KUALA LUMPUR,Programme & Project Management (Information & Communication Technology),Full time,,"Position Objective:This position is responsible for providing consultation and professional advice on key technology and information security risk matters relating to the geographical responsibilities (AIA Singapore, AIA Brunei, AIA Financial Advisors, AIA Investment Management, AIA BTC, AIA CTC), thereby adding value to building a strong information security risk culture centred on people, processes and technology. The role will also coordinate regular governance review engagements and being involved in technology-related audit engagements for the abovementioned geographical locations. The role requires professional judgment and assessments on material to be provided by the various process and control owners for the audits.Roles and ResponsibilitiesAssessments, Audit and Regulatory ManagementFacilitate and drive Technology related audit engagements with internal auditor, statutory auditor and regulator, following up with relevant parties to ensure all issues identified are remediatedFacilitate and drive annual IT risk and control self-assessment exercises according to MAS regulatory notices/guidelines, internal enterprise IT policies, and standardsCoordinate independent reviews of the entities’ compliance against various information security and technology risk regulations such as MAS TRM Guidelines, MAS 132 Notice on Cyber Hygiene and MAS 127 Notice on TRM for AIA Singapore, as well as Brunei technology risk regulations for AIA Brunei.Support in the divisions’ risk and controls assessment exercises, as well as quarterly internal controls for financial reporting controls assessmentsSupport the assurance initiatives under the First Line of Defense to uplift the technology and cyber controls landscape for the Company Security & Technology Risk MetricsSupport the alignment of various information security and technology risk metrics for management reporting and escalation – this includes reporting/escalation of outstanding or overdue action required from penetration tests, vulnerability assessments, security incidents, policy/standards deviations, third party security assessments, etc.Review and assess collated metrics and material for consistency checks and trends Standards and Exception ManagementCommunicate material changes to internal policies/standards to stakeholders Facilitate risk evaluations and exception handling to deviations from the policies, standards and regulatory requirements Risk & Compliance InitiativesAssist in enterprise-wide risk and compliance coordination for Technology division, where applicable This is an individual contributor role, with opportunities for lateral development within the function. Job Requirements Experiences:At least 5 years of relevant work experience, including at least 3 years of experience in IT audit, risk management, compliance and/or governance roles, with particular expertise and knowledge of governance reporting of technology risk issues and cybersecurityRich working experience from financial industry, big tech firms or established auditing firms will be considered favorablyExperience and exposure in information security standards such as ISO27001, SOC2 or PCIDSS will be an advantage Certifications/Licenses:Preferably a holder of one or more of the following entry-level information security and audit qualifications: Security+, CEHCandidates with advanced level qualifications such as CISSP, CISA, CRISC, CCSP will have added advantage Special skills:Strong experience working alongside and opposite external auditors as well as regulatory bodiesStrong Project Management skillsEagerness to learn and develop knowledge in information security and computing, especially on emerging computing fields such as cloud security, DevSecOps, etc. Important information:Shortlisted candidate will follow Singapore public holidays",0,KUALA LUMPUR,KUALA LUMPUR
Application Specialist,Utas Maju Sdn Bhd,"PETALING JAYA, SELANGOR",Product Management & Development (Information & Communication Technology),Full time,3000-4500,"Application specialist functioned to master the application of the instrument that they are dedicated to. Under the employment of Utas Maju Sdn Bhd. This position provides application support and training to the customers and also sales team. Application specialist also responsible to communicate with the manufacturer for any kind of product related information. Application specialist will accountable for instruments’ performance at installation sites, troubleshooting and responsible to provide solutions to the customers. Besides that, application specialist also capable to assist in giving value added of the system in terms of fitting their laboratory workflow and needs. Role & ResponsibilitiesGeneralApplication Specialist, as the name implies – are positions where he or she supports the Senior Application Specialist to support day to day service support.The Application Specialist is responsible to highlight to Senior Application Specialist any issue occurred related to technical & application.Application Specialist serves as a support to Sales Department in terms of technical issues.Application Specialist is responsible for On-site training.In-house job – preparing interrelated documents pertaining to above role as an application specialist.To provide info/report to Senior Application Specialist in every issue occurred regarding any technical issue so that correct measure and action can be taken to solve customers’ problems. Support to SalesTechnical issues sometimes can be crucial and full support must be given to sales in terms of technicalityProvide updated information to sales – new reagents, change of methods, etc to sales so that sales can provide the info to customers.Highlight to sales all application issues occurred during visit to customer site so that it can be discuss on how sales people can help to reduce / eliminate the issues at customers’ site.To provide periodical training to sales especially in technical issues so that sales people could be an eye for the product team to identify the problems at customers’ site so that it can be highlighted back to product department for correct measures and action.Application Specialist must be proactive to determine the needs of sales people regarding the technical issues of the product.A part from that, application specialist must be proactive to determine problems at customers’ site base on problem highlighted during site visit or problems highlighted by sales people, then to take appropriate action to help the customers. eg; re-train, advance training, education materials to customer. On-Site TrainingOn-site training after installation & commissioning of product at customers’ siteApplication specialist must deliver proper knowledge to customer during on-site training so that the instrument is running in its optimum condition.Application specialist to make sure the knowledge is fully transferable to customerApplication must identify any mistakes done by customers so that correct measure can be taken in order to make sure the optimum usage of the instrument.Follow up must be done at least 3 months after the first on-site training to make sure the machine is fully run in its optimum condition.Application specialist is responsible to communicate with engineers regarding all technical issues to make sure the instrument run smoothly during and after the training. In-HouseOffice work.Application specialist is responsible to communicate with product specialist to transfer knowledge to sales people – in-house trainingTo prepare necessary documents regarding application issues to help the sales people.To prepare necessary documents regarding application issues to help the customers. eg. – SOP of instruments, running the test.To communicate with suppliers for any updates related to technical and application issues.To work closely with Product Specialist / Product Executive to manage all the application manuals, marketing tools including preparation, filing and others.  AuthorityHandle and manage the application activities.   Requirements Able to travel and relocateRequire to travel within Malaysia including Sabah and Sarawak.flexible to relocate within Malaysia is preferable. Basic KnowledgeBachelor Degree in Biomedical Science, Medical Science or other related degree (Preferably working experience in related medical industries for at least 2-3 years) or;Diploma in Biomedical/Medical Laboratory Technology or related Diploma with minimum 3 years experiences in related field.Most preferable: Minimum 1 years in handling Hematology analyser (FBC and FBP)  Other skills & knowledge Core competencies requiredSkills requiredKnowledge required Action orientationAmbiguity; orApproachability; orCommunication; orCooperation; orCreativity; or Emotional Intelligence/awarenessFast learning; orFlexibility/Adaptability; orIndependent; orInterpersonal skills; orListening; orOpen minded; orPlanning/Priority setting; orProblem solving; orTeam working Writing – Bahasa Melayu/English; orComputer – Microsoft Office; or* Word* Excel* Power PointCommunication skills; orPresentation  ",3750,SELANGOR,SELANGOR
Software Engineer,SAM Engineering & Equipment (M) Bhd,"BAYAN LEPAS, PENANG",Engineering - Software (Information & Communication Technology),Full time,,"Responsibilities:Implement and execute projects assigned by the Senior Engineer, Staff Engineer or Manager.Procure materials needed in projects.Provide training and technical support when required.Documentation of project or equipment operation and specifications.Prepare and update product documentation.Perform automation software development / electrical and electronics installation / required tests / debug and/or assembly.Perform research and development in any related fields, and practise the new technology after sufficient study and assessment.Carry out standard product development when necessary.Mentor and provide assistance to subordinates, peers and customers when required.Contribute towards achieving management and individual objectives.Perform any ad hoc projects as assigned by the superior.PC base is advantage as supporting such as System /Company/IT Server, SEC GEM, Data Base, User Interface (IO, Graphic, Recipe).Familiar with Visual Basic, C/C++, MFC, MS Windows environment, Multitasking, Network programming & Robot integration will be added advantage.Familiar with or has knowledge in electronics/electrical circuit designing and robotics system.PC base advantage is supporting such as System /Company/IT Server, SEC GEM, Data Base, User Interface (IO, Graphic, Recipe).PLC base advantage is supporting such as Machine Sequence, Machine Speed Performance, Machine Stability. Requirement:Candidate must possess at least a Diploma/Degree in Electronics/Electrical/Computer Engineering/Computer Science or equivalent.At least 3 year(s) of working experience in the related field is required for this position.Preferably contract manufacturing/ industrial automation experiences.Able to speak English, Mandarin and Bahasa Malay.",0,PENANG,PENANG
